Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G10,16 h,489.405,461,369.532,358,0,0,0,DMSO_10%_16h,1
G10,16 h,447.269,439,328.808,317,0,0,0,DMSO_10%_16h,1
G10,16 h,394.307,385,384.228,368,0,0,0,DMSO_10%_16h,1
G10,16 h,472.276,465,429.029,401,0,0,0,DMSO_10%_16h,1
G10,16 h,506.815,484,445.547,425,1,0,0,DMSO_10%_16h,1
G10,16 h,418.514,411,350.065,339,0,0,0,DMSO_10%_16h,1
G10,16 h,371.647,364,332.171,306,0,0,0,DMSO_10%_16h,1
G10,16 h,462.041,449,343.78,334,0,0,0,DMSO_10%_16h,1
G10,16 h,373.541,368,370.726,355,0,0,0,DMSO_10%_16h,1
G10,16 h,1086.05,579,567.37,386,1,1,1,DMSO_10%_16h,1
G10,16 h,427.073,417,330.78,320,0,0,0,DMSO_10%_16h,1
G10,16 h,406.563,400,435.762,406,0,0,0,DMSO_10%_16h,1
G10,16 h,424.745,409,534.208,397,0,1,0,DMSO_10%_16h,1
G10,16 h,432.156,416,336.797,321,0,0,0,DMSO_10%_16h,1
G10,16 h,377.151,377,301.767,301,0,0,0,DMSO_10%_16h,1
G10,16 h,426.629,421,341.945,320,0,0,0,DMSO_10%_16h,1
G10,16 h,576.071,508,400.292,378,1,0,0,DMSO_10%_16h,1
G10,16 h,684.083,465,565.981,424,1,1,1,DMSO_10%_16h,1
G10,16 h,386.038,378,330.106,307,0,0,0,DMSO_10%_16h,1
G10,16 h,390.296,386,343.02,332,0,0,0,DMSO_10%_16h,1
G10,16 h,422.846,416,351.69,343,0,0,0,DMSO_10%_16h,1
G10,16 h,426.38,421,342.374,338,0,0,0,DMSO_10%_16h,1
G10,16 h,455.751,448,362.394,352,0,0,0,DMSO_10%_16h,1
G10,16 h,344.229,337,274.554,271,0,0,0,DMSO_10%_16h,1
G10,16 h,457.044,449,357.749,352,0,0,0,DMSO_10%_16h,1
G10,16 h,449.102,440,359.795,351,0,0,0,DMSO_10%_16h,1
G10,16 h,339.163,328,350.761,325,0,0,0,DMSO_10%_16h,1
G10,16 h,360.549,347,288.542,281,0,0,0,DMSO_10%_16h,1
G10,16 h,424.467,420,366.162,354,0,0,0,DMSO_10%_16h,1
G10,16 h,436.231,427,348.164,338,0,0,0,DMSO_10%_16h,1
G10,16 h,442.207,438,365.132,356,0,0,0,DMSO_10%_16h,1
G10,16 h,443.513,432,360.904,351,0,0,0,DMSO_10%_16h,1
G10,16 h,380.192,377,336.985,320,0,0,0,DMSO_10%_16h,1
G10,16 h,424.073,415,380.292,367,0,0,0,DMSO_10%_16h,1
G10,16 h,553.561,548,481.03,461,1,0,0,DMSO_10%_16h,1
G10,16 h,380.84,371,300.066,289,0,0,0,DMSO_10%_16h,1
G10,16 h,411.716,401,324.817,316,0,0,0,DMSO_10%_16h,1
G10,16 h,454.462,447,382.357,373,0,0,0,DMSO_10%_16h,1
G10,16 h,427.894,420,380.251,368,0,0,0,DMSO_10%_16h,1
G10,16 h,504.933,432,342.573,336,1,0,0,DMSO_10%_16h,1
G10,16 h,429.095,415,359.588,347,0,0,0,DMSO_10%_16h,1
G10,16 h,475.191,452,457.468,365,0,0,0,DMSO_10%_16h,1
G10,16 h,490.397,475,405.697,353,0,0,0,DMSO_10%_16h,1
G10,16 h,455.587,448,389.056,374,0,0,0,DMSO_10%_16h,1
G10,16 h,462.858,453,372.681,356,0,0,0,DMSO_10%_16h,1
G10,16 h,390.564,383,341.637,332,0,0,0,DMSO_10%_16h,1
G10,16 h,427.679,418,313.635,309,0,0,0,DMSO_10%_16h,1
G10,16 h,501.785,479,487.613,423,1,0,0,DMSO_10%_16h,1
G10,16 h,347.495,343,387.664,373,0,0,0,DMSO_10%_16h,1
G10,16 h,445.894,444,354.74,352,0,0,0,DMSO_10%_16h,1
G10,16 h,531.745,503,423.711,405,1,0,0,DMSO_10%_16h,1
G10,16 h,586.448,504,415.72,356,1,0,0,DMSO_10%_16h,1
G10,16 h,393.267,390,304.613,301,0,0,0,DMSO_10%_16h,1
G10,16 h,547.962,515,423.459,413,1,0,0,DMSO_10%_16h,1
G10,16 h,310.915,308,278.907,277,0,0,0,DMSO_10%_16h,1
G10,16 h,478.743,471,424.554,404,0,0,0,DMSO_10%_16h,1
G10,16 h,358.516,349,322.166,297,0,0,0,DMSO_10%_16h,1
G10,16 h,504.133,492,412.756,385,1,0,0,DMSO_10%_16h,1
