Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G6,30 min,423.619,414,502.261,465,0,1,0,DMSO_10%_30min,1
G6,30 min,485.317,467,390.501,376,0,0,0,DMSO_10%_30min,1
G6,30 min,466.465,450,418.43,409,0,0,0,DMSO_10%_30min,1
G6,30 min,697.455,689,610.999,604,1,1,1,DMSO_10%_30min,1
G6,30 min,359.113,348,402.498,368,0,0,0,DMSO_10%_30min,1
G6,30 min,375.431,371,390.342,349,0,0,0,DMSO_10%_30min,1
G6,30 min,473.952,443,566.658,524,0,1,0,DMSO_10%_30min,1
G6,30 min,416.193,399,363.76,340,0,0,0,DMSO_10%_30min,1
G6,30 min,371.543,367,465.708,382,0,0,0,DMSO_10%_30min,1
G6,30 min,487.173,472,452.048,428,0,0,0,DMSO_10%_30min,1
G6,30 min,1209.48,1181,1053.12,1024,1,1,1,DMSO_10%_30min,1
G6,30 min,1428.48,1369,1322.43,1145,1,1,1,DMSO_10%_30min,1
G6,30 min,412.156,377,500.022,441,0,1,0,DMSO_10%_30min,1
G6,30 min,415.071,404,393.955,376,0,0,0,DMSO_10%_30min,1
G6,30 min,360.541,345,356.155,335,0,0,0,DMSO_10%_30min,1
G6,30 min,506.433,502,487.324,420,1,0,0,DMSO_10%_30min,1
G6,30 min,376.099,366,570.931,339,0,1,0,DMSO_10%_30min,1
G6,30 min,421.949,410,530.853,495,0,1,0,DMSO_10%_30min,1
G6,30 min,696.205,665,824.739,749,1,1,1,DMSO_10%_30min,1
G6,30 min,566.07,544,486.051,467,1,0,0,DMSO_10%_30min,1
G6,30 min,587.257,553,451.875,401,1,0,0,DMSO_10%_30min,1
G6,30 min,607.233,588,500.55,473,1,1,1,DMSO_10%_30min,1
G6,30 min,650.63,563,710.424,552,1,1,1,DMSO_10%_30min,1
G6,30 min,518.133,499,414.682,396,1,0,0,DMSO_10%_30min,1
G6,30 min,532.716,521,472.133,444,1,0,0,DMSO_10%_30min,1
G6,30 min,649.69,631,566.724,480,1,1,1,DMSO_10%_30min,1
G6,30 min,530.041,503,507.933,484,1,1,1,DMSO_10%_30min,1
G6,30 min,578.329,553,494.691,484,1,0,0,DMSO_10%_30min,1
G6,30 min,613.937,598,562.208,540,1,1,1,DMSO_10%_30min,1
G6,30 min,491.087,476,388.774,374,0,0,0,DMSO_10%_30min,1
G6,30 min,643.454,614,516.029,478,1,1,1,DMSO_10%_30min,1
G6,30 min,691.226,664,560.115,534,1,1,1,DMSO_10%_30min,1
G6,30 min,499.302,487,648.357,598,0,1,0,DMSO_10%_30min,1
G6,30 min,588.286,573,504.219,484,1,1,1,DMSO_10%_30min,1
G6,30 min,469.466,462,511.883,508,0,1,0,DMSO_10%_30min,1
G6,30 min,520.285,493,465.253,456,1,0,0,DMSO_10%_30min,1
G6,30 min,589.994,571,500.433,467,1,1,1,DMSO_10%_30min,1
G6,30 min,351.542,331,308.565,295,0,0,0,DMSO_10%_30min,1
G6,30 min,616.611,595,473.551,437,1,0,0,DMSO_10%_30min,1
G6,30 min,569.184,552,524.549,409,1,1,1,DMSO_10%_30min,1
G6,30 min,369.668,367,351.599,322,0,0,0,DMSO_10%_30min,1
G6,30 min,515.309,502,441.396,424,1,0,0,DMSO_10%_30min,1
G6,30 min,513.13,506,449.174,409,1,0,0,DMSO_10%_30min,1
G6,30 min,562.597,541,512.752,480,1,1,1,DMSO_10%_30min,1
G6,30 min,566.853,537,498.451,482,1,0,0,DMSO_10%_30min,1
G6,30 min,478.369,455,577.275,444,0,1,0,DMSO_10%_30min,1
G6,30 min,536.646,517,564.176,534,1,1,1,DMSO_10%_30min,1
G6,30 min,374.668,364,358.92,343,0,0,0,DMSO_10%_30min,1
G6,30 min,919.954,849,923.481,666,1,1,1,DMSO_10%_30min,1
G6,30 min,460.394,451,415.038,397,0,0,0,DMSO_10%_30min,1
G6,30 min,601.326,582,529.181,493,1,1,1,DMSO_10%_30min,1
G6,30 min,513.43,490,476.811,450,1,0,0,DMSO_10%_30min,1
G6,30 min,422.03,401,319.314,314,0,0,0,DMSO_10%_30min,1
G6,30 min,3871.35,3414,64468.8,65535,1,1,1,DMSO_10%_30min,1
G6,30 min,495.289,480,622.522,562,0,1,0,DMSO_10%_30min,1
G6,30 min,414.668,406,498.677,435,0,0,0,DMSO_10%_30min,1
G6,30 min,413.004,390,658.933,608,0,1,0,DMSO_10%_30min,1
G6,30 min,430.255,405,543.595,527,0,1,0,DMSO_10%_30min,1
G6,30 min,562.295,489,589.249,475,1,1,1,DMSO_10%_30min,1
G6,30 min,487.409,477,551.58,529,0,1,0,DMSO_10%_30min,1
G6,30 min,455.368,451,378.831,372,0,0,0,DMSO_10%_30min,1
G6,30 min,493.907,482,604.186,559,0,1,0,DMSO_10%_30min,1
G6,30 min,24353,24018,3265.83,3099,1,1,1,DMSO_10%_30min,1
G6,30 min,458.546,441,429.412,397,0,0,0,DMSO_10%_30min,1
G6,30 min,539.125,523,644.665,607,1,1,1,DMSO_10%_30min,1
G6,30 min,485.674,479,562.055,531,0,1,0,DMSO_10%_30min,1
G6,30 min,460.696,443,639.388,605,0,1,0,DMSO_10%_30min,1
G6,30 min,451.918,438,640.444,485,0,1,0,DMSO_10%_30min,1
G6,30 min,433.612,415,536.196,494,0,1,0,DMSO_10%_30min,1
G6,30 min,509.314,496,492.75,471,1,0,0,DMSO_10%_30min,1
G6,30 min,578.951,517,503.921,467,1,1,1,DMSO_10%_30min,1
G6,30 min,384.989,376,369.59,335,0,0,0,DMSO_10%_30min,1
G6,30 min,405.54,396,337.646,324,0,0,0,DMSO_10%_30min,1
G6,30 min,568.874,554,555.803,483,1,1,1,DMSO_10%_30min,1
G6,30 min,471.82,464,399.024,384,0,0,0,DMSO_10%_30min,1
G6,30 min,554.137,508,500.096,480,1,1,1,DMSO_10%_30min,1
G6,30 min,447.481,402,7661.29,8136,0,1,0,DMSO_10%_30min,1
G6,30 min,421.463,411,406.683,393,0,0,0,DMSO_10%_30min,1
G6,30 min,338.259,334,380.593,350,0,0,0,DMSO_10%_30min,1
G6,30 min,341.684,336,286.294,282,0,0,0,DMSO_10%_30min,1
G6,30 min,430.043,413,17445.8,11934,0,1,0,DMSO_10%_30min,1
G6,30 min,394.22,364,312.183,307,0,0,0,DMSO_10%_30min,1
G6,30 min,569.384,571,494.817,481,1,0,0,DMSO_10%_30min,1
G6,30 min,347.144,341,358.501,334,0,0,0,DMSO_10%_30min,1
G6,30 min,450.122,437,431.375,409,0,0,0,DMSO_10%_30min,1
G6,30 min,359.596,351,392.931,368,0,0,0,DMSO_10%_30min,1
G6,30 min,447.459,432,399.466,375,0,0,0,DMSO_10%_30min,1
G6,30 min,649.593,637,611.734,571,1,1,1,DMSO_10%_30min,1
G6,30 min,509.965,481,464.954,440,1,0,0,DMSO_10%_30min,1
G6,30 min,385.285,371,508.607,451,0,1,0,DMSO_10%_30min,1
G6,30 min,679.86,652,1679.99,1095,1,1,1,DMSO_10%_30min,1
G6,30 min,477.083,460,507.138,480,0,1,0,DMSO_10%_30min,1
G6,30 min,585.071,556,808.09,720,1,1,1,DMSO_10%_30min,1
G6,30 min,410.13,400,411.401,381,0,0,0,DMSO_10%_30min,1
G6,30 min,420.033,410,403.611,380,0,0,0,DMSO_10%_30min,1
G6,30 min,695.82,670,711.748,666,1,1,1,DMSO_10%_30min,1
G6,30 min,485.309,475,457.496,438,0,0,0,DMSO_10%_30min,1
G6,30 min,593.575,561,513.702,472,1,1,1,DMSO_10%_30min,1
